U+1F3D2	🏒	\xf0\x9f\x8f\x92	ICE HOCKEY STICK AND PUCK
U+1F3D3	🏓	\xf0\x9f\x8f\x93	TABLE TENNIS PADDLE AND BALL
U+1F3D4	🏔	\xf0\x9f\x8f\x94	SNOW CAPPED MOUNTAIN
U+1F3D5	🏕	\xf0\x9f\x8f\x95	CAMPING
U+1F3D6	🏖	\xf0\x9f\x8f\x96	BEACH WITH UMBRELLA
U+1F3D7	🏗	\xf0\x9f\x8f\x97	BUILDING CONSTRUCTION
U+1F3D8	🏘	\xf0\x9f\x8f\x98	HOUSE BUILDINGS
U+1F3D9	🏙	\xf0\x9f\x8f\x99	CITYSCAPE
U+1F3DA	🏚	\xf0\x9f\x8f\x9a	DERELICT HOUSE BUILDING
U+1F3DB	🏛	\xf0\x9f\x8f\x9b	CLASSICAL BUILDING
U+1F3DC	🏜	\xf0\x9f\x8f\x9c	DESERT
U+1F3DD	🏝	\xf0\x9f\x8f\x9d	DESERT ISLAND
U+1F3DE	🏞	\xf0\x9f\x8f\x9e	NATIONAL PARK
U+1F3DF	🏟	\xf0\x9f\x8f\x9f	STADIUM
U+1F3E0	🏠	\xf0\x9f\x8f\xa0	HOUSE BUILDING
U+1F3E1	🏡	\xf0\x9f\x8f\xa1	HOUSE WITH GARDEN
U+1F3E2	🏢	\xf0\x9f\x8f\xa2	OFFICE BUILDING
U+1F3E3	🏣	\xf0\x9f\x8f\xa3	JAPANESE POST OFFICE
U+1F3E4	🏤	\xf0\x9f\x8f\xa4	EUROPEAN POST OFFICE
U+1F3E5	🏥	\xf0\x9f\x8f\xa5	HOSPITAL
U+1F3E6	🏦	\xf0\x9f\x8f\xa6	BANK
U+1F3E7	🏧	\xf0\x9f\x8f\xa7	AUTOMATED TELLER MACHINE
U+1F3E8	🏨	\xf0\x9f\x8f\xa8	HOTEL
U+1F3E9	🏩	\xf0\x9f\x8f\xa9	LOVE HOTEL
U+1F3EA	🏪	\xf0\x9f\x8f\xaa	CONVENIENCE STORE
U+1F3EB	🏫	\xf0\x9f\x8f\xab	SCHOOL
U+1F3EC	🏬	\xf0\x9f\x8f\xac	DEPARTMENT STORE
U+1F3ED	🏭	\xf0\x9f\x8f\xad	FACTORY
U+1F3EE	🏮	\xf0\x9f\x8f\xae	IZAKAYA LANTERN
U+1F3EF	🏯	\xf0\x9f\x8f\xaf	JAPANESE CASTLE
U+1F3F0	🏰	\xf0\x9f\x8f\xb0	EUROPEAN CASTLE
U+1F3F1	🏱	\xf0\x9f\x8f\xb1	WHITE PENNANT
U+1F3F2	🏲	\xf0\x9f\x8f\xb2	BLACK PENNANT
U+1F3F3	🏳	\xf0\x9f\x8f\xb3	WAVING WHITE FLAG
U+1F3F4	🏴	\xf0\x9f\x8f\xb4	WAVING BLACK FLAG
U+1F3F5	🏵	\xf0\x9f\x8f\xb5	ROSETTE
U+1F3F6	🏶	\xf0\x9f\x8f\xb6	BLACK ROSETTE
U+1F3F7	🏷	\xf0\x9f\x8f\xb7	LABEL
U+1F3F8	🏸	\xf0\x9f\x8f\xb8	BADMINTON RACQUET AND SHUTTLECOCK
U+1F3F9	🏹	\xf0\x9f\x8f\xb9	BOW AND ARROW
U+1F3FA	🏺	\xf0\x9f\x8f\xba	AMPHORA
U+1F3FB	🏻	\xf0\x9f\x8f\xbb	EMOJI MODIFIER FITZPATRICK TYPE-1-2
U+1F3FC	🏼	\xf0\x9f\x8f\xbc	EMOJI MODIFIER FITZPATRICK TYPE-3
U+1F3FD	🏽	\xf0\x9f\x8f\xbd	EMOJI MODIFIER FITZPATRICK TYPE-4
U+1F3FE	🏾	\xf0\x9f\x8f\xbe	EMOJI MODIFIER FITZPATRICK TYPE-5
U+1F3FF	🏿	\xf0\x9f\x8f\xbf	EMOJI MODIFIER FITZPATRICK TYPE-6
U+1F400	🐀	\xf0\x9f\x90\x80	RAT
U+1F401	🐁	\xf0\x9f\x90\x81	MOUSE
